country_name_x,year,mental_health_value,indicator_code,country_name_matched,country_name_y,GDP_per_capita,School_enrollment,Unemployment
CHE,2002,16.08594773,MH_12,Seychelles,Seychelles,8864.16919495467,73.3114776611328,7.757837937420643
ETH,2020,17.14017685,MH_12,Ethiopia,Ethiopia,829.790982547947,79.72026252508348,3.998
GHA,2012,15.01805074,MH_12,Afghanistan,Afghanistan,651.417134470046,54.372859954834,7.875
TUN,2020,1.836638812,MH_12,Tunisia,Tunisia,3548.65363663803,79.72026252508348,17.651
POL,2013,3.752963209,MH_12,French Polynesia,French Polynesia,21955.6329264095,79.72026252508348,12.027
KEN,2008,17.5424315,MH_12,Kenya,Kenya,915.54435473604,57.0353507995605,2.751
TUR,2011,1.226176607,MH_12,Turkiye,Turkiye,11373.6355760885,87.80322265625,9.789
JOR,2011,1.505176606,MH_12,Jordan,Jordan,3946.85503855525,87.5930404663086,12.9
RUS,2016,25.93708794,MH_12,Belarus,Belarus,5039.77560949445,102.969005936733,5.844
PRI,2011,5.876760449,MH_12,Sao Tome and Principe,Sao Tome and Principe,1219.80189089671,48.8370208740234,14.229
CYP,2008,5.411757061,MH_12,Cyprus,Cyprus,35397.296875,92.3691635131836,3.756
QAT,2019,1.268641895,MH_12,Qatar,Qatar,66841.3623185691,105.162567508393,0.1
KOR,2002,10.94084974,MH_12,"Korea, Dem. People's Rep.","Korea, Dem. People's Rep.",14722.823314233625,79.72026252508348,3.644
GEO,2002,1.268687181,MH_12,Georgia,Georgia,853.526171868939,89.9919891357422,12.59
LVA,2007,5.627830499,MH_12,El Salvador,El Salvador,2830.65693770733,67.3213119506836,6.41
PRI,2003,12.19776914,MH_12,Sao Tome and Principe,Sao Tome and Principe,663.696211810494,36.1393585205078,16.36
NAM,2020,19.85418646,MH_12,Namibia,Namibia,3878.58982993966,82.8872992484077,21.003
QAT,2007,9.321085398,MH_12,Qatar,Qatar,65954.3419525051,91.991569519043,0.52
FRA,2016,16.71563371,MH_12,France,France,37024.2157133669,103.308097839355,10.057
COM,2018,12.20866842,MH_12,Comoros,Comoros,1527.40527125285,61.7014685443494,3.975
LVA,2013,31.16954301,MH_12,El Salvador,El Salvador,3582.26694005169,72.2452860122263,3.693
LVA,2021,11.95314339,MH_12,El Salvador,El Salvador,4642.60743101342,64.9813787512946,4.327
RUS,2007,34.27434352,MH_12,Belarus,Belarus,4735.48107556066,79.72026252508348,7.41
